'Australia',23.59,0,'Ange Postecoglou'
'Iran',77.97,0,'Carlos Queiroz'
'Japan',127.06,0,'Alberto Zaccheroni'
'South Korea',50.42,0,'Hong Myung-bo'
'Algeria',39.9,0,'Vahid Halilhodzic'
'Cameroon',23.03,0,'Volker Finke'
'Ghana',25.9,0,'James Kwesi Appiah'
'Ivory Coast',20.32,0,'Sabri Lamouchi'
'Nigeria',173.6,0,'Stephen Keshi'
'Costa Rica',4.87,0,'Jorge Luis Pinto'
'Honduras',8.09,0,'Luis Fernando Suarez'
'Mexico',122.3,0,'Miguel Herrera'
'USA',318.9,0,'Jurgen Klinsmann'
'Argentina',42.3,2,'Alejandro Sabella'
'Brazil',202.4,5,'Luiz Felipe Scolari'
'Chile',17.62,0,'Jorge Sampaoli'
'Columbia',49.14,0,'Jose Pekerman'
'Ecuador',15.98,0,'Reinaldo Rueda'
'Uruguay',3.42,2,'Oscar Tabarez'
'Belgium',11.2,0,'Marc Wilmots'
'Bosnia & Herzegovina',3.83,0,'Safet Susic'
'Croatia',4.25,0,'Niko Kovac'
'England',53.5,1,'Roy Hodgson'
'France',64.6,1,'Didier Deschamps'
'Germany',82.6,4,'Joachim Low'
'Greece',11.2,0,'Fernando Santos'
'Italy',61.07,4,'Cesare Prandelli'
'Netherlands',16.9,0,'Louis van Gaal'
'Portugal',10.58,0,'Paulo Bento'
'Russia',142.46,0,'Fabio Capello'
'Spain',47.1,1,'Vicente del Bosque'
'Switzerland',8,0,'Ottmar Hitzfeld'
