269058,5,6,2,400
321722,7,5,2,682
314197,5,4,1,458
217315,6,4,0,548
229397,7,4,1,693
306548,6,3,3,245
373400,3,3,0,270
321653,4,3,0,387
297103,5,3,3,450
184616,7,3,1,690
213001,2,2,0,159
353118,3,2,0,167
354875,3,2,1,169
336098,4,2,1,173
270775,2,2,0,178
375518,2,2,0,180
313832,3,2,0,194
309316,6,2,0,258
359381,3,2,1,258
294620,3,2,0,262
290186,3,2,1,263
208353,3,2,1,270
182206,5,2,0,281
354859,4,2,1,324
344714,4,2,0,335
207851,4,2,0,387
228627,4,2,2,390
214876,5,2,0,494
311150,6,2,0,508
312868,7,2,1,640
271043,7,2,1,660
275162,7,2,4,690
369094,1,1,0,13
319436,1,1,0,15
359995,1,1,0,29
267811,1,1,0,34
373555,1,1,0,45
254166,2,1,0,50
184615,3,1,1,53
216646,3,1,0,55
229884,1,1,0,56
209502,2,1,0,67
228599,4,1,0,76
356704,3,1,0,92
202655,3,1,1,94
186808,3,1,0,100
270144,4,1,0,102
268149,3,1,1,104
362649,2,1,0,136
311554,4,1,0,140
183864,3,1,0,143
300411,3,1,0,144
196842,3,1,1,149
358015,5,1,1,165
298664,3,1,0,174
358112,4,1,1,175
320375,2,1,0,180
366309,3,1,1,190
207528,3,1,0,191
301059,3,1,0,208
317056,4,1,0,214
271414,3,1,0,220
187258,3,1,0,228
379911,5,1,1,245
307849,3,1,0,247
286278,3,1,0,249
306532,3,1,0,260
300409,3,1,1,265
362641,3,1,0,270
233500,3,1,1,270
197514,3,1,0,270
358048,3,1,0,270
291393,3,1,0,270
358114,5,1,0,270
254167,3,1,0,270
299198,3,1,1,270
201200,3,1,1,270
234551,4,1,1,296
214228,4,1,0,280
208016,5,1,0,297
227851,4,1,0,301
309716,4,1,0,304
270301,4,1,1,309
311558,4,1,0,323
251352,4,1,0,333
297106,4,1,2,335
312987,4,1,0,336
356409,4,1,1,337
367388,5,1,1,354
178119,4,1,1,360
267834,4,1,1,360
229499,4,1,0,360
318150,4,1,1,364
296827,4,1,0,367
196900,5,1,1,377
309714,5,1,3,386
358120,4,1,2,390
319358,4,1,1,390
183893,4,1,0,390
299090,4,1,0,390
297112,4,1,1,390
307529,5,1,2,415
290902,5,1,0,415
200213,5,1,0,416
266800,5,1,1,423
358014,5,1,0,427
290904,5,1,0,449
233952,6,1,0,471
319438,7,1,0,550
289964,6,1,1,570
271550,7,1,0,572
215002,6,1,1,585
318688,6,1,1,616
305036,7,1,2,654
319432,7,1,2,670
313021,7,1,0,677
198243,3,0,2,238
356399,4,0,2,250
360728,4,0,2,259
370522,3,0,2,270
184447,3,0,2,270
319428,5,0,2,365
273996,5,0,2,368
196748,7,0,2,690
214384,1,0,1,21
200179,2,0,1,34
201787,3,0,1,45
312116,2,0,1,49
367913,1,0,1,90
207906,1,0,1,90
355023,1,0,1,90
316117,2,0,1,94
379808,2,0,1,105
197464,2,0,1,135
298662,2,0,1,136
200847,3,0,1,140
312014,2,0,1,141
358099,2,0,1,148
210702,2,0,1,164
183000,2,0,1,180
230517,4,0,1,182
306424,3,0,1,207
306410,3,0,1,221
200201,3,0,1,225
177876,3,0,1,225
239237,3,0,1,264
300237,3,0,1,270
183857,3,0,1,270
296633,3,0,1,270
294619,3,0,1,270
339551,3,0,1,270
298582,3,0,1,270
349576,3,0,1,270
185641,3,0,1,270
274283,3,0,1,270
358011,4,0,1,360
364763,4,0,1,360
329092,4,0,1,360
229498,4,0,1,360
233531,4,0,1,360
261029,4,0,1,390
313559,4,0,1,390
183796,5,0,1,413
307026,5,0,1,425
209940,5,0,1,510
367918,6,0,1,525
218284,6,0,1,570
311148,7,0,1,690
200130,7,0,1,720
